"Sydney","NSW","Melbourne","VIC","BrisbaneGC","QLD","Capitals","Other"
7320,21782,4865,14054,9055,8016,9178,10232
6117,16881,4100,8237,5616,8461,6362,9540
6282,13495,4418,6731,8298,13175,7965,12385
6368,15963,5157,7675,6674,9092,6864,13098
6602,22718,5550,13581,9168,10224,8908,10140
5651,14775,3902,7883,7351,9672,7690,9948
5710,14634,3970,6516,8322,14376,7998,10653
6509,15669,3825,6834,7017,10620,7068,10781
6589,20474,5706,12561,8706,9668,10484,11462
5392,14522,4228,7801,7045,8885,7377,9217
7156,13761,4066,6393,8501,11980,6965,11586
8426,15378,4617,7976,6856,10241,8360,11005
6981,19960,5675,13000,7706,9460,7765,9842
6333,15152,4585,7478,7017,9804,7192,10412
6062,13806,4743,6754,8728,12406,7391,9946
6088,14125,5724,7314,8302,10667,7325,11901
5579,21047,5378,13045,9173,9915,9009,10786
5780,14835,3884,7904,6612,7600,7023,9888
5833,16198,4978,6808,7955,14730,7825,11221
5977,16748,5289,8521,8964,9950,7310,12892
6203,21010,5220,12193,9970,9952,8110,11205
5313,14527,4722,8460,7131,9448,7170,10420
5119,14095,4124,6886,8271,13691,7020,12189
5734,15309,4680,7938,7927,11110,7129,11835
6167,20957,4878,13186,9087,9279,9665,12619
5708,14813,4868,8723,6995,9161,7671,9040
5021,14590,4177,6807,8756,15078,7391,12017
5357,15773,4176,7635,8491,9616,7885,11291
5901,21953,5438,13129,9325,10281,8927,11040
4491,13146,3870,6744,6835,8853,6955,8741
5092,13025,4370,5820,8269,11874,7867,10523
5246,12835,4377,7111,6986,10990,6794,9051
6819,20139,5704,12397,9156,9528,8018,10885
5663,14433,5285,7600,7077,9417,8276,9769
4997,13912,4165,6049,7044,12744,7487,9546
5751,14294,4700,7393,8552,10930,7941,9989
6521,19774,4703,14071,8705,11103,9992,11372
4910,14682,4488,7286,7750,9958,8648,9675
4784,12651,4698,5800,8163,14211,7650,11555
5844,14475,5192,7472,7806,10207,7938,10270
6252,21300,5217,13768,8466,12449,8597,10963
5023,12874,4201,6844,6345,9091,6598,8786
5264,12216,5042,5911,7151,12049,7910,10870
4708,14938,5087,7160,8299,9095,7110,8281
5356,19148,4688,11017,7830,8918,8004,9417
4769,11967,4392,7054,5812,9174,6686,8082
4118,12199,4609,6460,7348,14094,6817,9758
5264,14866,4879,7216,6521,10465,7317,7991
6000,18314,4844,11791,7545,9350,8134,8657
4283,12653,4437,7319,6566,9266,7597,7583
5253,14023,4821,5990,7717,13311,6252,10167
5355,13785,4621,7245,7992,9915,6886,7722
6193,19021,5163,11910,6401,6335,7336,9915
5102,13989,4502,7769,7747,9348,6394,8055
5577,13627,4966,6574,7283,14285,7268,10919
5064,13951,4474,7571,7359,10112,7637,8726
