date,sno,value,value_detrended
2000-01-01,1,5.0,4.048577376821651
2000-02-01,2,2.0,0.060396092457160266
2000-03-01,3,-1.0,-3.92778519190733
2000-04-01,4,1.0,-2.9159664762718207
2000-05-01,5,14.0,9.095852239363689
2000-06-01,6,13.0,7.1076709549991985
2000-07-01,7,6.0,-0.8805103293652925
2000-08-01,8,7.0,-0.8686916137297827
2000-09-01,9,0.0,-8.856872898094274
2000-10-01,10,5.0,-4.845054182458764
2000-11-01,11,22.0,11.166764533176746
2000-12-01,12,19.0,7.178583248812256
2001-01-01,13,6.0,-6.809598035552234
2001-02-01,14,26.0,12.202220680083274
2001-03-01,15,5.0,-9.785960604281216
2001-04-01,16,34.0,18.22585811135429
2001-05-01,17,-2.0,-18.7623231730102
2001-06-01,18,17.0,-0.7505044573746886
2001-07-01,19,18.0,-0.7386857417391788
2001-08-01,20,16.0,-3.726867026103669
2001-09-01,21,23.0,2.284951689531841
2001-10-01,22,24.0,2.2967704051673508
2001-11-01,23,16.0,-6.691410879197139
2001-12-01,24,23.0,-0.6795921635616295
2002-01-01,25,28.0,3.3322265520738803
2002-02-01,26,10.0,-15.65595473229061
2002-03-01,27,29.0,2.3558639833448964
2002-04-01,28,20.0,-7.632317301019594
2002-05-01,29,57.0,28.379501414615916
2002-06-01,30,20.0,-9.608679869748574
2002-07-01,31,42.0,11.403138845886936
2002-08-01,32,13.0,-18.585042438477554
2002-09-01,33,36.0,3.4267762771579555
2002-10-01,34,30.0,-3.561405007206538
2002-11-01,35,36.0,1.4504137084289752
2002-12-01,36,32.0,-3.5377675759355185
2003-01-01,37,27.0,-9.525948860300005
2003-02-01,38,64.0,26.4858698553355
2003-03-01,39,49.0,10.497688570971015
2003-04-01,40,31.0,-8.490492713393479
2003-05-01,41,19.0,-21.478673997757966
2003-06-01,42,50.0,8.53314471787754
2003-07-01,43,38.0,-4.455036566486953
2003-08-01,44,41.0,-2.4432178508514397
2003-09-01,45,36.0,-8.431399135215933
2003-10-01,46,33.0,-12.41958041958042
2003-11-01,47,45.0,-1.4077617039449137
2003-12-01,48,48.0,0.6040570116905997
2004-01-01,49,32.0,-16.384124272673894
2004-02-01,50,56.0,6.627694442961619
2004-03-01,51,43.0,-7.360486841402874
2004-04-01,52,64.0,12.651331874232639
2004-05-01,53,68.0,15.663150589868145
2004-06-01,54,70.0,16.67496930550365
2004-07-01,55,37.0,-17.313211978860835
2004-08-01,56,56.0,0.6986067367746713
2004-09-01,57,52.0,-4.289574547589815
2004-10-01,58,62.0,4.722244168045691
2004-11-01,59,63.0,4.734062883681204
2004-12-01,60,69.0,9.74588159931671
2005-01-01,61,67.0,6.757700314952224
2005-02-01,62,48.0,-13.23048096941227
2005-03-01,63,72.0,9.781337746223244
2005-04-01,64,57.0,-6.20684353814125
2005-05-01,65,79.0,14.804975177494256
2005-06-01,66,76.0,10.81679389312977
2005-07-01,67,58.0,-8.171387391234717
2005-08-01,68,66.0,-1.1595686755992176
2005-09-01,69,60.0,-8.147749959963704
2005-10-01,70,58.0,-11.13593124432819
2005-11-01,71,85.0,14.875887471307323
2005-12-01,72,64.0,-7.112293813057178
2006-01-01,73,74.0,1.8995249025783352
2006-02-01,74,79.0,5.911343618213849
2006-03-01,75,68.0,-6.076837666150652
2006-04-01,76,79.0,3.934981049484861
2006-05-01,77,87.0,10.946799765120375
2006-06-01,78,67.0,-10.041381519244112
2006-07-01,79,87.0,8.970437196391387
2006-08-01,80,64.0,-15.0177440879731
2006-09-01,81,69.0,-11.005925372337586
2006-10-01,82,83.0,2.0058933432979273
2006-11-01,83,76.0,-5.9822879410665735
2006-12-01,84,86.0,3.02953077456894
2007-01-01,85,77.0,-6.958650509795547
2007-02-01,86,100.0,15.053168205839953
2007-03-01,87,82.0,-3.935013078524534
2007-04-01,88,89.0,2.0768056371109793
2007-05-01,89,99.0,11.088624352746493
2007-06-01,90,93.0,4.100443068381992
2007-07-01,91,100.0,10.112261784017505
2007-08-01,92,78.0,-12.875919500346981
2007-09-01,93,84.0,-7.864100784711468
2007-10-01,94,86.0,-6.852282069075969
2007-11-01,95,90.0,-3.8404633534404553
2007-12-01,96,90.0,-4.828644637804942
2008-01-01,97,88.0,-7.816825922169443
2008-02-01,98,86.0,-10.80500720653393
2008-03-01,99,92.0,-5.793188490898416
2008-04-01,100,107.0,8.218630224737097
2008-05-01,101,105.0,5.230448940372597
2008-06-01,102,114.0,13.24226765600811
2008-07-01,103,114.0,12.254086371643623
2008-08-01,104,65.0,-37.73409491272086
2008-09-01,105,116.0,12.277723802914636
2008-10-01,106,98.0,-6.7104574814498505
2008-11-01,107,102.0,-3.698638765814337
2008-12-01,108,126.0,19.313179949821162
2009-01-01,109,112.0,4.324998665456675
2009-02-01,110,129.0,20.33681738109219
2009-03-01,111,114.0,4.348636096727702
2009-04-01,112,120.0,9.360454812363201
2009-05-01,113,92.0,-19.627726472001285
2009-06-01,114,133.0,20.38409224363423
2009-07-01,115,111.0,-2.6040890407302584
2009-08-01,116,120.0,5.407729674905241
2009-09-01,117,105.0,-10.580451609459246
2009-10-01,118,121.0,4.431367106176268
2009-11-01,119,134.0,16.443185821811767
2009-12-01,120,108.0,-10.54499546255272
2010-01-01,121,112.0,-7.533176746917206
2010-02-01,122,85.0,-35.52135803128169
2010-03-01,123,174.0,52.490460684353806
2010-04-01,124,110.0,-12.49772060001068
2010-05-01,125,135.0,11.514098115624833
2010-06-01,126,136.0,11.525916831260346
2010-07-01,127,99.0,-26.462264453104154
2010-08-01,128,125.0,-1.450445737468641
2010-09-01,129,137.0,9.561372978166872
2010-10-01,130,103.0,-25.426808306197643
2010-11-01,131,129.0,-0.41498959056212925
